,MJD,Steered Frequencies
327,60156.583333333336,3.4782129050108157e-15
328,60156.625,8.337372644028588e-16
329,60156.666666666664,7.41294466641583e-15
330,60156.708333333336,-1.120379365130646e-15
331,60156.75,-5.141821782405613e-16
332,60156.791666666664,-7.387514813174965e-16
333,60156.833333333336,-2.9952110717594823e-15
334,60156.875,8.337778339367341e-16
335,60156.916666666664,-1.3103843877080812e-15
336,60156.958333333336,-2.723438031056117e-15
337,60157.0,8.246619066406547e-16
338,60157.041666666664,1.608417018252121e-17
339,60157.083333333336,-2.670579324253028e-15
340,60157.125,-6.987412111513375e-15
341,60157.166666666664,3.757693744539031e-15
342,60157.208333333336,2.0246870298926478e-15
343,60157.25,-2.037898055721327e-15
344,60157.291666666664,3.1898457347328557e-15
345,60157.333333333336,-7.78479735862521e-15
346,60157.375,8.28648540072976e-16
347,60157.416666666664,-2.464238584060108e-15
348,60157.458333333336,-4.709141199899873e-15
349,60157.5,1.9239422304576039e-16
350,60157.541666666664,-3.7239891784359524e-15
351,60157.583333333336,-7.705825044922055e-15
352,60157.625,1.518351446213054e-15
353,60157.666666666664,2.668189374652519e-15
354,60157.708333333336,-9.182466583982553e-15
355,60157.75,-5.122558822548629e-15
356,60157.791666666664,-7.394393222871163e-15
357,60157.833333333336,1.027303388247567e-15
358,60157.875,-2.8643354321254267e-15
359,60157.916666666664,-3.174625626440629e-15
360,60157.958333333336,-5.051412675312542e-15
361,60158.0,-4.236860354879048e-15
362,60158.041666666664,-1.9879765676145172e-15
363,60158.083333333336,-5.18015568327509e-15
364,60158.125,-3.9007316155440374e-15
365,60158.166666666664,-4.2967140021253944e-15
366,60158.208333333336,2.290315693991138e-20
367,60158.25,-3.5630927233993795e-16
368,60158.291666666664,2.6924931791813863e-15
369,60158.333333333336,-4.495022074700759e-15
370,60158.375,1.5250532122405243e-15
371,60158.416666666664,1.6728441621112078e-15
372,60158.458333333336,-2.1411509180702162e-15
373,60158.5,3.900019000952236e-15
374,60158.541666666664,7.207167060182371e-15
375,60158.583333333336,-2.5544446103130994e-15
376,60158.666666666664,8.443192038058606e-17
377,60158.708333333336,-1.9366483736537875e-15
378,60158.75,-1.6551960391913573e-15
379,60158.791666666664,-1.6529780817589056e-15
380,60158.833333333336,-6.963516413684352e-15
381,60158.875,-4.60145444206042e-15
382,60158.916666666664,-2.718542262310915e-16
383,60158.958333333336,2.7450895251783684e-15
384,60159.0,2.2176590698298545e-15
385,60159.041666666664,5.520524667046877e-15
386,60159.083333333336,-3.688840063797373e-15
387,60159.125,-7.279964769340159e-15
388,60159.166666666664,-3.8908361751297564e-15
389,60159.208333333336,8.545645766046095e-16
390,60159.25,-1.0822333510033021e-15
391,60159.291666666664,-4.473794026390733e-16
392,60159.333333333336,1.1593599676411528e-15
393,60159.375,1.1988901758653828e-15
394,60159.416666666664,-4.2138607816893023e-16
395,60159.458333333336,-8.871138875735274e-15
396,60159.5,5.119163946806232e-15
397,60159.541666666664,3.801582230044764e-15
398,60159.583333333336,3.2256557492689883e-15
399,60159.625,2.0838275544311037e-15
400,60159.666666666664,-4.0410253523601844e-16
401,60159.708333333336,2.94847862394365e-15
402,60159.75,2.2967870037817847e-15
403,60159.791666666664,-2.184881979675732e-15
404,60159.833333333336,-6.7381892114357656e-15
405,60159.875,2.3473253450693995e-15
406,60159.916666666664,-4.852518627504406e-15
407,60160.0,-2.3876906872291085e-15
408,60160.041666666664,1.261147828850931e-15
409,60160.083333333336,1.3296049418003826e-15
410,60160.125,1.5669355855394296e-16
411,60160.166666666664,-6.098961819577744e-15
412,60160.208333333336,2.958991486255757e-15
413,60160.25,-3.4914096774763477e-15
414,60160.291666666664,-4.059780549845432e-15
415,60160.333333333336,-3.4181790964065974e-16
416,60160.375,-5.700062546743435e-15
417,60160.416666666664,5.2509953523831594e-15
418,60160.458333333336,-9.39921171904348e-15
419,60160.5,9.012047801379856e-16
420,60160.541666666664,1.5477624263406195e-15
421,60160.583333333336,1.8117039810318323e-15
422,60160.625,-1.9893394659543468e-15
423,60160.666666666664,-1.1109722272558389e-15
424,60160.708333333336,4.4848086579289954e-15
425,60160.75,-5.430356136962004e-15
426,60160.791666666664,-6.143522412889868e-15
427,60160.833333333336,1.7922907626465822e-15
428,60160.875,-1.0127644387317565e-15
429,60160.916666666664,3.90991686093364e-15
430,60160.958333333336,-2.7586558052579525e-15
431,60161.0,5.323845800080054e-15
432,60161.041666666664,2.199476010588951e-15
433,60161.083333333336,-2.3272264415030258e-15
434,60161.125,-2.9636912631767488e-15
435,60161.166666666664,1.9676634959152872e-16
436,60161.208333333336,-3.7460266418120605e-15
437,60161.25,2.0335602432380948e-15
438,60161.291666666664,-2.868447198549199e-15
439,60161.333333333336,-6.515001476917012e-15
440,60161.375,-7.370592458757456e-16
441,60161.416666666664,-7.975929128297915e-16
442,60161.458333333336,3.909333200503196e-15
443,60161.5,-3.4083885940694293e-15
444,60161.541666666664,-7.830443931051085e-15
445,60161.583333333336,6.3621575889069224e-15
446,60161.625,9.553662411514295e-16
447,60161.666666666664,-5.17572452365435e-15
448,60161.708333333336,-7.482589078641231e-16
449,60161.75,6.785065234494409e-16
450,60161.791666666664,-1.2017275749966161e-15
451,60161.833333333336,-2.2031638806199817e-15
452,60161.875,-6.905210075035761e-15
453,60161.916666666664,-5.928263338233284e-16
454,60161.958333333336,-2.7384809390310557e-15
455,60162.0,-8.241036464158459e-15
456,60162.041666666664,4.767746724201518e-15
457,60162.083333333336,-1.5380657361296458e-15
458,60162.125,6.999985648372925e-16
459,60162.166666666664,-2.171942476156605e-15
460,60162.208333333336,-2.7089853694532775e-15
461,60162.25,-3.388752903405889e-16
462,60162.291666666664,1.1600633046391273e-15
463,60162.333333333336,2.802203609727068e-15
464,60162.375,-2.422112563881566e-15
465,60162.416666666664,3.632492889325045e-15
466,60162.458333333336,2.093934204995739e-15
467,60162.5,-1.7684694721183158e-15
468,60162.541666666664,-1.8512667022614414e-15
469,60162.583333333336,-6.513512241755966e-16
470,60162.666666666664,2.4284397510694876e-15
471,60162.708333333336,1.2026490877218818e-15
472,60162.75,-3.2819529805781387e-15
473,60162.791666666664,-1.010027134883169e-15
474,60162.833333333336,-1.9265620070474292e-15
475,60162.875,-3.0441660415002934e-15
476,60162.916666666664,-4.47134353384939e-15
477,60162.958333333336,-4.817744572086139e-15
478,60163.0,-5.860242674958018e-15
479,60163.041666666664,-3.0900899693999645e-15
480,60163.083333333336,-3.3341044440430978e-15
481,60163.125,-1.4748876159151956e-15
482,60163.166666666664,4.452004339308407e-15
483,60163.208333333336,-2.677642832780581e-16
484,60163.25,2.3247859223903176e-15
485,60163.291666666664,-4.4602200982475886e-15
486,60163.333333333336,-4.417290719112434e-15
487,60163.375,4.5185052365446e-16
488,60163.416666666664,1.9892986512527407e-15
489,60163.458333333336,5.174839908675717e-15
490,60163.5,-2.6991922163409736e-16
491,60163.541666666664,4.644255208698034e-15
492,60163.583333333336,-9.71365975932158e-17
493,60163.625,-5.320144436496955e-16
494,60163.666666666664,-9.126003061970396e-15
495,60163.708333333336,1.4106530850341186e-15
496,60163.75,3.004162066649313e-16
497,60163.791666666664,-5.690224437813987e-16
498,60163.833333333336,3.6552381213214234e-15
499,60163.875,7.342358095294285e-17
500,60163.916666666664,-2.8851964053806825e-15
501,60164.0,1.1069294651058069e-15
502,60164.041666666664,-2.7034747002606133e-15
503,60164.083333333336,-2.05744685192618e-15
504,60164.125,-8.079961797835007e-16
505,60164.166666666664,-1.685857993142215e-15
506,60164.208333333336,-4.489049889217286e-15
507,60164.25,-2.794209663701962e-15
508,60164.291666666664,-4.5696658215211754e-15
509,60164.333333333336,8.398910800643152e-16
510,60164.375,-3.0866439372832917e-16
511,60164.416666666664,-6.308009596574903e-15
512,60164.458333333336,6.632982829323777e-15
513,60164.5,3.935717296630736e-15
514,60164.541666666664,-3.783685963290505e-15
515,60164.583333333336,-8.265449841436025e-17
516,60164.625,1.53999605941867e-15
517,60164.666666666664,-1.0823297466753532e-15
518,60164.708333333336,3.791580442059693e-15
519,60164.75,3.69482796729763e-15
520,60164.791666666664,-4.500338348903625e-15
521,60164.833333333336,-3.765522035262875e-15
522,60164.875,-5.246850660593695e-15
523,60164.916666666664,-2.9795487862946544e-15
524,60164.958333333336,2.2072916431869666e-15
525,60165.0,-3.896713608041912e-15
526,60165.041666666664,-2.0266255129938285e-16
527,60165.083333333336,3.883236964949412e-16
528,60165.125,1.208185349382268e-15
529,60165.166666666664,-1.6871541014645296e-16
530,60165.208333333336,1.9680016411934307e-15
531,60165.25,-4.3908473058087375e-16
532,60165.291666666664,-1.6000220325299605e-15
533,60165.333333333336,2.3854437544050794e-16
534,60165.375,-4.254272442966696e-15
535,60165.416666666664,-7.350755519974966e-15
536,60165.458333333336,-3.827594655934374e-15
537,60165.5,-8.326789968478587e-16
538,60165.541666666664,-5.968449535458134e-16
539,60165.583333333336,3.6216512510005365e-15
540,60165.625,2.120977172320277e-15
541,60165.666666666664,5.556353475987277e-16
542,60165.708333333336,-4.154721574405684e-15
543,60165.75,5.467637801981335e-15
544,60165.791666666664,-8.677843048859347e-16
545,60165.833333333336,-3.7112558618819904e-16
546,60165.875,-3.1672651079484875e-15
547,60165.916666666664,-9.96722019138607e-16
548,60165.958333333336,-1.2901693200739742e-15
549,60166.0,-5.899974901746289e-15
550,60166.041666666664,-1.3634838477313614e-15
551,60166.083333333336,-7.0420926873972555e-15
552,60166.125,4.2391215911209507e-16
553,60166.166666666664,1.3297675045461896e-15
554,60166.208333333336,-1.5611724192482207e-15
555,60166.25,-8.999432203819902e-15
556,60166.291666666664,-1.07606227533809e-15
557,60166.333333333336,1.6631836742981833e-15
558,60166.375,-2.3553701484089033e-16
559,60166.416666666664,-3.7753758076574004e-16
560,60166.458333333336,-3.752004201926416e-15
561,60166.5,5.4912887234024316e-17
562,60166.541666666664,4.371020274897459e-15
563,60166.583333333336,5.7810227082518895e-15
