,Fit_max,IM_max,Ld,RW,Rescaled_LD
242,68,59,2.6000000000000068,0.5,-1.5695659034758332e-16
243,63,46,2.800000000000007,0.5,-1.6903017422047433e-16
244,62,54,3.000000000000007,0.5,-1.811037580933653e-16
245,60,63,3.2000000000000064,0.5,-1.9317734196625627e-16
246,64,74,3.4000000000000075,0.5,-2.0525092583914733e-16
247,62,69,3.6000000000000085,0.5,-2.1732450971203838e-16
248,56,61,3.800000000000008,0.5,-2.293980935849293e-16
249,63,73,4.000000000000007,0.5,-2.414716774578203e-16
250,65,84,4.200000000000008,0.5,-2.5354526133071133e-16
251,59,59,4.400000000000009,0.5,-2.656188452036024e-16
252,56,59,4.6000000000000085,0.5,-2.7769242907649335e-16
253,63,85,4.800000000000008,0.5,-2.897660129493843e-16
254,59,57,5.000000000000009,0.5,-3.0183959682227536e-16
255,51,40,-5.0,0.6,3.018395968222748e-16
256,57,60,-4.8,0.6,2.8976601294938384e-16
257,53,43,-4.6,0.6,2.776924290764928e-16
258,51,55,-4.4,0.6,2.6561884520360187e-16
259,56,44,-4.199999999999999,0.6,2.535452613307108e-16
260,52,62,-3.999999999999999,0.6,2.414716774578198e-16
261,56,53,-3.799999999999999,0.6,2.2939809358492877e-16
262,62,65,-3.5999999999999988,0.6,2.173245097120378e-16
263,58,67,-3.3999999999999986,0.6,2.0525092583914678e-16
264,57,69,-3.1999999999999984,0.6,1.9317734196625578e-16
265,55,62,-2.9999999999999982,0.6,1.811037580933648e-16
266,65,71,-2.799999999999998,0.6,1.6903017422047378e-16
267,54,62,-2.599999999999998,0.6,1.5695659034758278e-16
268,60,86,-2.3999999999999977,0.6,1.4488300647469177e-16
269,56,65,-2.199999999999997,0.6,1.3280942260180074e-16
270,57,64,-1.9999999999999971,0.6,1.2073583872890975e-16
271,53,28,-1.7999999999999972,0.6,1.0866225485601876e-16
272,56,57,-1.599999999999997,0.6,9.658867098312776e-17
273,60,72,-1.3999999999999968,0.6,8.451508711023676e-17
274,55,65,-1.1999999999999966,0.6,7.244150323734575e-17
275,59,64,-0.9999999999999964,0.6,6.036791936445475e-17
276,55,93,-0.7999999999999963,0.6,4.8294335491563747e-17
277,59,69,-0.5999999999999961,0.6,3.6220751618672745e-17
278,57,46,-0.3999999999999959,0.6,2.4147167745781738e-17
279,55,51,-0.1999999999999957,0.6,1.2073583872890733e-17
280,56,77,4.440892098500626e-15,0.6,-2.68087416108531e-31
281,54,54,0.2000000000000046,0.6,-1.207358387289127e-17
282,56,61,0.4000000000000048,0.6,-2.4147167745782274e-17
283,54,56,0.600000000000005,0.6,-3.622075161867328e-17
284,54,55,0.8000000000000052,0.6,-4.829433549156428e-17
285,56,60,1.000000000000005,0.6,-6.036791936445527e-17
286,63,63,1.2000000000000055,0.6,-7.244150323734629e-17
287,61,38,1.4000000000000057,0.6,-8.451508711023729e-17
288,65,76,1.600000000000006,0.6,-9.658867098312831e-17
289,58,82,1.800000000000006,0.6,-1.086622548560193e-16
290,53,64,2.000000000000006,0.6,-1.207358387289103e-16
291,56,56,2.2000000000000064,0.6,-1.328094226018013e-16
292,56,45,2.4000000000000066,0.6,-1.448830064746923e-16
293,58,56,2.6000000000000068,0.6,-1.5695659034758332e-16
294,54,43,2.800000000000007,0.6,-1.6903017422047433e-16
295,59,100,3.000000000000007,0.6,-1.811037580933653e-16
296,52,57,3.2000000000000064,0.6,-1.9317734196625627e-16
297,54,68,3.4000000000000075,0.6,-2.0525092583914733e-16
298,56,47,3.6000000000000085,0.6,-2.1732450971203838e-16
299,56,43,3.800000000000008,0.6,-2.293980935849293e-16
300,52,44,4.000000000000007,0.6,-2.414716774578203e-16
301,53,55,4.200000000000008,0.6,-2.5354526133071133e-16
302,52,49,4.400000000000009,0.6,-2.656188452036024e-16
303,54,52,4.6000000000000085,0.6,-2.7769242907649335e-16
304,54,53,4.800000000000008,0.6,-2.897660129493843e-16
305,53,47,5.000000000000009,0.6,-3.0183959682227536e-16
306,48,43,-5.0,0.7000000000000001,3.018395968222748e-16
307,44,41,-4.8,0.7000000000000001,2.8976601294938384e-16
308,48,48,-4.6,0.7000000000000001,2.776924290764928e-16
309,46,50,-4.4,0.7000000000000001,2.6561884520360187e-16
310,45,46,-4.199999999999999,0.7000000000000001,2.535452613307108e-16
311,47,38,-3.999999999999999,0.7000000000000001,2.414716774578198e-16
312,49,38,-3.799999999999999,0.7000000000000001,2.2939809358492877e-16
313,49,39,-3.5999999999999988,0.7000000000000001,2.173245097120378e-16
314,44,50,-3.3999999999999986,0.7000000000000001,2.0525092583914678e-16
315,46,47,-3.1999999999999984,0.7000000000000001,1.9317734196625578e-16
316,45,39,-2.9999999999999982,0.7000000000000001,1.811037580933648e-16
317,48,46,-2.799999999999998,0.7000000000000001,1.6903017422047378e-16
318,45,34,-2.599999999999998,0.7000000000000001,1.5695659034758278e-16
319,47,55,-2.3999999999999977,0.7000000000000001,1.4488300647469177e-16
320,50,50,-2.199999999999997,0.7000000000000001,1.3280942260180074e-16
321,47,35,-1.9999999999999971,0.7000000000000001,1.2073583872890975e-16
322,43,41,-1.7999999999999972,0.7000000000000001,1.0866225485601876e-16
323,50,65,-1.599999999999997,0.7000000000000001,9.658867098312776e-17
324,49,42,-1.3999999999999968,0.7000000000000001,8.451508711023676e-17
325,51,61,-1.1999999999999966,0.7000000000000001,7.244150323734575e-17
326,51,45,-0.9999999999999964,0.7000000000000001,6.036791936445475e-17
327,43,36,-0.7999999999999963,0.7000000000000001,4.8294335491563747e-17
328,48,53,-0.5999999999999961,0.7000000000000001,3.6220751618672745e-17
329,48,55,-0.3999999999999959,0.7000000000000001,2.4147167745781738e-17
330,46,43,-0.1999999999999957,0.7000000000000001,1.2073583872890733e-17
331,50,47,4.440892098500626e-15,0.7000000000000001,-2.68087416108531e-31
332,53,47,0.2000000000000046,0.7000000000000001,-1.207358387289127e-17
333,57,50,0.4000000000000048,0.7000000000000001,-2.4147167745782274e-17
334,48,34,0.600000000000005,0.7000000000000001,-3.622075161867328e-17
335,47,29,0.8000000000000052,0.7000000000000001,-4.829433549156428e-17
336,51,51,1.000000000000005,0.7000000000000001,-6.036791936445527e-17
337,52,44,1.2000000000000055,0.7000000000000001,-7.244150323734629e-17
338,50,51,1.4000000000000057,0.7000000000000001,-8.451508711023729e-17
339,49,55,1.600000000000006,0.7000000000000001,-9.658867098312831e-17
340,52,55,1.800000000000006,0.7000000000000001,-1.086622548560193e-16
341,44,37,2.000000000000006,0.7000000000000001,-1.207358387289103e-16
342,47,44,2.2000000000000064,0.7000000000000001,-1.328094226018013e-16
343,44,38,2.4000000000000066,0.7000000000000001,-1.448830064746923e-16
344,45,36,2.6000000000000068,0.7000000000000001,-1.5695659034758332e-16
345,48,57,2.800000000000007,0.7000000000000001,-1.6903017422047433e-16
346,48,37,3.000000000000007,0.7000000000000001,-1.811037580933653e-16
347,54,39,3.2000000000000064,0.7000000000000001,-1.9317734196625627e-16
348,49,51,3.4000000000000075,0.7000000000000001,-2.0525092583914733e-16
349,53,40,3.6000000000000085,0.7000000000000001,-2.1732450971203838e-16
350,48,32,3.800000000000008,0.7000000000000001,-2.293980935849293e-16
351,46,52,4.000000000000007,0.7000000000000001,-2.414716774578203e-16
352,54,43,4.200000000000008,0.7000000000000001,-2.5354526133071133e-16
353,47,31,4.400000000000009,0.7000000000000001,-2.656188452036024e-16
354,41,45,4.6000000000000085,0.7000000000000001,-2.7769242907649335e-16
355,48,44,4.800000000000008,0.7000000000000001,-2.897660129493843e-16
356,51,48,5.000000000000009,0.7000000000000001,-3.0183959682227536e-16
357,41,39,-5.0,0.8,3.018395968222748e-16
358,44,44,-4.8,0.8,2.8976601294938384e-16
359,41,24,-4.6,0.8,2.776924290764928e-16
360,41,45,-4.4,0.8,2.6561884520360187e-16
