% File initiated 20/09/2022 08:32:49 UTC
% Raw fountain data
%
% File notes: CERN_SNR_ off res VNA reference
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59842.356133
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot 2 MJD days	Shot 2 MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot 1 MJD days	Shot 1 MJD seconds	Shot order (0=LF->HF)
59842	31220	-0.00316364	0.03145407	0.45559189	0.03106810	0.48937755	0.63419411	0.63352457	0.34487114	0.34443440	0.63394734	0.63324609	0.34459570	0.34432593	59842	31218	0
59842	31223	0.00409045	0.03119368	0.48813123	0.03133245	0.46636895	0.63403593	0.63329827	0.34465346	0.34435855	0.63382113	0.63330082	0.34494024	0.34432930	59842	31222	0
59842	31227	-0.00151187	0.03143110	0.45371748	0.03127540	0.47052445	0.63394192	0.63328266	0.34496029	0.34443883	0.63363665	0.63339663	0.34548545	0.34433521	59842	31225	0
59842	31230	-0.00267302	0.03142667	0.45969664	0.03157279	0.46318009	0.63354577	0.63327395	0.34507862	0.34427276	0.63354651	0.63316014	0.34527854	0.34425222	59842	31228	0
59842	31233	0.00458819	0.03135200	0.47174035	0.03142644	0.44995670	0.63360395	0.63313105	0.34508536	0.34423447	0.63363197	0.63330600	0.34530550	0.34424548	59842	31231	0
59842	31236	-0.00017985	0.03138014	0.44696880	0.03167881	0.46127293	0.63392869	0.63318315	0.34451509	0.34425428	0.63384808	0.63320731	0.34467286	0.34425806	59842	31235	0
59842	31240	-0.00917794	0.03160412	0.45080106	0.03147774	0.47779532	0.63391784	0.63325308	0.34467278	0.34424704	0.63365605	0.63329047	0.34505660	0.34424762	59842	31238	0
59842	31243	-0.00254604	0.03163430	0.47516761	0.03168701	0.45527191	0.63373978	0.63334190	0.34475758	0.34429873	0.63386945	0.63316984	0.34462503	0.34427498	59842	31241	0
59842	31246	0.00403297	0.03184960	0.46365873	0.03132296	0.44392170	0.63347363	0.63325357	0.34531478	0.34423291	0.63354051	0.63324355	0.34509760	0.34424746	59842	31245	0
59842	31249	0.00417590	0.03128465	0.47512084	0.03160268	0.47469206	0.63373682	0.63325283	0.34472183	0.34421615	0.63379952	0.63320764	0.34467951	0.34421352	59842	31248	0
59842	31253	0.00009016	0.03156035	0.45711163	0.03192320	0.46936884	0.63346311	0.63311314	0.34504789	0.34415764	0.63382417	0.63301552	0.34445436	0.34424409	59842	31251	0
59842	31256	-0.01069785	0.03177622	0.44935439	0.03165551	0.48171841	0.63329655	0.63302596	0.34515594	0.34419947	0.63334117	0.63308923	0.34510754	0.34418846	59842	31254	0
